('52.129.96.0', '255.255.240.0'),
('52.219.170.0', '255.255.254.0'),
('52.219.168.0', '255.255.255.0'),
('3.127.48.128', '255.255.255.192'),
('3.123.12.192', '255.255.255.192'),
('150.222.230.102', '255.255.255.254'),
('3.122.128.0', '255.255.254.0'),
('52.93.126.135', '255.255.255.255'),
('18.157.71.192', '255.255.255.192'),
('18.157.237.192', '255.255.255.192'),
('18.157.237.128', '255.255.255.192'),
('150.222.129.244', '255.255.255.254'),
('15.230.131.2', '255.255.255.255'),
('150.222.122.104', '255.255.255.254'),
('15.177.68.0', '255.255.254.0'),
('150.222.230.122', '255.255.255.254'),
('15.230.131.128', '255.255.255.240'),
('3.5.134.0', '255.255.254.0'),
('15.230.131.80', '255.255.255.240'),
('150.222.129.142', '255.255.255.254'),
('52.28.0.0', '255.255.0.0'),
('52.93.126.134', '255.255.255.255'),
('150.222.122.98', '255.255.255.254'),
('150.222.230.116', '255.255.255.254'),
('150.222.122.112', '255.255.255.254'),
('150.222.129.120', '255.255.255.254'),
('150.222.129.114', '255.255.255.254'),
('150.222.129.138', '255.255.255.254'),
('150.222.122.114', '255.255.255.254'),
('150.222.129.66', '255.255.255.254'),
('15.230.131.9', '255.255.255.255'),
('52.119.188.0', '255.255.252.0'),
('52.46.184.0', '255.255.252.0'),
('150.222.230.93', '255.255.255.255'),
('99.82.163.0', '255.255.255.0'),
('18.194.0.0', '255.254.0.0'),
('15.230.131.6', '255.255.255.255'),
('150.222.122.108', '255.255.255.254'),
('52.144.211.0', '255.255.255.192'),
('150.222.129.128', '255.255.255.254'),
('150.222.129.136', '255.255.255.254'),
('52.95.248.0', '255.255.255.0'),
('150.222.129.246', '255.255.255.254'),
('15.230.131.8', '255.255.255.255'),
('13.34.47.96', '255.255.255.224'),
('15.230.131.144', '255.255.255.240'),
('18.196.0.0', '255.254.0.0'),
('64.252.86.0', '255.255.255.0'),
('54.239.56.0', '255.255.248.0'),
('150.222.120.244', '255.255.255.254'),
('15.230.131.16', '255.255.255.240'),
('150.222.139.120', '255.255.255.252'),
('150.222.129.240', '255.255.255.254'),
('150.222.129.20', '255.255.255.254'),
('150.222.122.110', '255.255.255.254'),
('52.93.127.138', '255.255.255.255'),
('99.83.99.0', '255.255.255.0'),
('15.230.131.48', '255.255.255.240'),
('150.222.129.124', '255.255.255.254'),
('18.153.0.0', '255.255.0.0'),
('52.219.140.0', '255.255.255.0'),
('13.34.5.12', '255.255.255.255'),
('150.222.120.242', '255.255.255.254'),
('13.34.33.32', '255.255.255.224'),
('15.230.52.0', '255.255.255.0'),
('150.222.139.116', '255.255.255.252'),
('15.230.131.162', '255.255.255.254'),
('150.222.129.130', '255.255.255.254'),
('54.239.0.160', '255.255.255.240'),
('52.219.169.0', '255.255.255.0'),
('13.34.33.128', '255.255.255.224'),
('150.222.122.116', '255.255.255.254'),
('52.219.44.0', '255.255.252.0'),
('35.156.0.0', '255.252.0.0'),
('150.222.129.126', '255.255.255.254'),
('13.248.123.0', '255.255.255.0'),
('150.222.129.110', '255.255.255.254'),
('150.222.120.255', '255.255.255.255'),
('52.94.17.0', '255.255.255.0'),
('52.144.210.192', '255.255.255.192'),
('150.222.129.255', '255.255.255.255'),
('13.34.5.44', '255.255.255.255'),
('15.221.3.0', '255.255.255.0'),
('15.230.80.0', '255.255.255.0'),
('150.222.230.96', '255.255.255.254'),
('52.94.248.112', '255.255.255.240'),
('18.198.0.0', '255.254.0.0'),
('3.120.0.0', '255.252.0.0'),
('99.150.16.0', '255.255.248.0'),
('99.78.168.0', '255.255.254.0'),
('150.222.120.240', '255.255.255.254'),
('54.239.106.0', '255.255.254.0'),
('15.193.4.0', '255.255.255.0'),
('150.222.129.158', '255.255.255.254'),
('15.230.144.0', '255.255.255.0'),
('150.222.120.224', '255.255.255.254'),
('99.78.160.0', '255.255.248.0'),
('150.222.230.110', '255.255.255.254'),
('150.222.230.100', '255.255.255.254'),
('52.144.209.0', '255.255.255.192'),
('52.29.0.0', '255.255.0.0'),
('52.94.204.0', '255.255.254.0'),
('150.222.230.120', '255.255.255.254'),
('150.222.230.114', '255.255.255.254'),
('150.222.129.242', '255.255.255.254'),
('54.239.4.0', '255.255.252.0'),
('150.222.230.94', '255.255.255.254'),
('150.222.120.232', '255.255.255.254'),
('52.94.136.0', '255.255.248.0'),
('64.252.88.0', '255.255.255.0'),
('99.77.247.0', '255.255.255.0'),
('150.222.230.118', '255.255.255.254'),
('150.222.230.112', '255.255.255.254'),
('15.230.85.0', '255.255.255.0'),
('52.94.198.48', '255.255.255.240'),
('150.222.129.64', '255.255.255.254'),
('15.230.131.4', '255.255.255.255'),
('13.34.33.160', '255.255.255.224'),
('150.222.129.69', '255.255.255.255'),
('3.64.0.0', '255.240.0.0'),
('13.34.47.32', '255.255.255.224'),
('52.93.127.237', '255.255.255.255'),
('15.230.131.164', '255.255.255.254'),
('150.222.120.250', '255.255.255.254'),
('150.222.139.124', '255.255.255.252'),
('150.222.122.100', '255.255.255.254'),
('13.34.5.13', '255.255.255.255'),
('3.5.136.0', '255.255.252.0'),
('150.222.129.156', '255.255.255.254'),
('150.222.120.246', '255.255.255.254'),
('99.77.158.0', '255.255.255.0'),
('15.230.131.7', '255.255.255.255'),
('150.222.129.116', '255.255.255.254'),
('150.222.120.226', '255.255.255.254'),
('150.222.129.248', '255.255.255.254'),
('150.222.129.140', '255.255.255.254'),
('15.230.131.96', '255.255.255.240'),
('13.34.33.96', '255.255.255.224'),
('150.222.129.19', '255.255.255.255'),
('150.222.104.0', '255.255.255.0'),
('15.230.131.0', '255.255.255.255'),
('150.222.122.96', '255.255.255.254'),
('52.219.72.0', '255.255.252.0'),
('13.34.5.45', '255.255.255.255'),
('150.222.129.152', '255.255.255.254'),
('64.252.87.0', '255.255.255.0'),
('52.93.127.139', '255.255.255.255'),
('52.94.69.0', '255.255.255.0'),
('13.34.47.64', '255.255.255.224'),
('52.93.126.133', '255.255.255.255'),
('18.192.0.0', '255.254.0.0'),
('52.93.126.132', '255.255.255.255'),
('13.34.33.0', '255.255.255.224'),
('15.230.64.192', '255.255.255.192'),
('150.222.129.112', '255.255.255.254'),
('15.230.131.5', '255.255.255.255'),
('150.222.122.94', '255.255.255.254'),
('54.239.64.0', '255.255.248.0'),
('15.230.65.64', '255.255.255.192'),
('15.230.131.1', '255.255.255.255'),
('150.222.230.98', '255.255.255.254'),
('150.222.122.92', '255.255.255.254'),
('150.222.120.228', '255.255.255.254'),
('18.156.0.0', '255.252.0.0'),
('15.230.131.160', '255.255.255.254'),
('150.222.129.154', '255.255.255.254'),
('54.239.54.0', '255.255.254.0'),
('150.222.230.108', '255.255.255.254'),
('150.222.129.118', '255.255.255.254'),
('150.222.10.0', '255.255.255.0'),
('52.95.255.128', '255.255.255.240'),
('150.222.122.102', '255.255.255.254'),
('15.230.65.0', '255.255.255.192'),
('64.252.89.0', '255.255.255.0'),
('150.222.120.252', '255.255.255.255'),
('13.34.47.0', '255.255.255.224'),
('3.124.0.0', '255.252.0.0'),
('150.222.129.62', '255.255.255.254'),
('150.222.230.124', '255.255.255.254'),
('54.93.0.0', '255.255.0.0'),
('150.222.129.252', '255.255.255.255'),
('13.248.97.0', '255.255.255.0'),
('150.222.120.234', '255.255.255.254'),
('52.57.0.0', '255.255.0.0'),
('15.230.131.14', '255.255.255.255'),
('18.184.0.0', '255.254.0.0'),
('15.230.131.12', '255.255.255.254'),
('99.78.156.0', '255.255.252.0'),
('150.222.120.20', '255.255.255.254'),
('150.222.122.106', '255.255.255.254'),
('52.58.0.0', '255.254.0.0'),
('13.34.33.64', '255.255.255.224'),
('150.222.120.62', '255.255.255.254'),
('150.222.5.0', '255.255.255.0'),
('52.93.127.238', '255.255.255.255'),
('15.230.131.112', '255.255.255.240'),
('15.230.131.64', '255.255.255.240'),
('15.230.131.3', '255.255.255.255'),
('15.230.131.15', '255.255.255.255'),
('150.222.129.132', '255.255.255.254'),
('150.222.120.248', '255.255.255.254'),
('150.222.230.106', '255.255.255.254'),
('15.230.131.166', '255.255.255.254'),
('150.222.230.92', '255.255.255.255'),
('150.222.129.134', '255.255.255.254'),
('150.222.120.230', '255.255.255.254'),
('15.230.131.10', '255.255.255.254'),
('150.222.129.122', '255.255.255.254'),
('150.222.245.122', '255.255.255.254'),
('150.222.230.104', '255.255.255.254'),
('99.77.136.0', '255.255.255.0'),
('15.230.131.32', '255.255.255.240'),
('3.68.251.176', '255.255.255.252'),
('3.127.48.248', '255.255.255.252'),
('3.127.48.244', '255.255.255.252'),
('35.158.127.64', '255.255.255.192'),
('18.184.2.128', '255.255.255.128'),
('3.66.172.0', '255.255.255.0'),
('3.127.74.0', '255.255.254.0'),
('3.123.15.0', '255.255.255.128'),
('3.123.14.0', '255.255.255.0'),
('99.77.247.0', '255.255.255.0'),
('18.184.203.128', '255.255.255.224'),
('18.184.138.224', '255.255.255.224'),
('52.57.254.0', '255.255.255.0'),
('35.158.136.0', '255.255.255.0'),
('18.192.142.0', '255.255.254.0'),
('35.157.127.248', '255.255.255.248'),
